name,type,lat,lng
Kerala State Beverages Corporation Outlet,beverages,11.6678028,76.2248337
Lulu Wedding Centre,clothes,11.658322,76.2485346
Beverages Corporation Pulpally,beverages,11.7852747,76.1658764
Government Ration Shop,convenience,11.6349264,76.2552878
Kunthani School,school,11.6315066,76.2597093
Hair Cut,hairdresser,11.6316343,76.2512224
Bevco,alcohol,11.8017448,76.0102265
Stationary Shop,stationery,11.8587978,76.1817139
General Store,general,11.8587566,76.1818412
General Store,general,11.8588443,76.181867
Barber Shop,hairdresser,11.8588,76.1818615
Vismaya Studio,photo,11.8585755,76.181718
General Store,general,11.8585828,76.1816236
General Store,general,11.8588503,76.1817345
Butcher's Shop,butcher,11.8590775,76.1819908
Ration Shop,general,11.8591578,76.182028
Interior Decoration Store,interior_decoration,11.8594791,76.1820328
Electrical Equipment Store,electrical,11.8595398,76.18205
Maniyath chicken store,butcher,11.839104,76.1789447
chicken shop,butcher,11.839616,76.1793
Famous Bakery,bakery,11.5530978,76.1319604
KSR vegetables,greengrocer,11.552807,76.1325946
Metro Stores,yes,11.5533726,76.1317368
CMB Central Shop,yes,11.5527751,76.1320793
Jio Store,mobile_phone,11.5521507,76.13258
Mobile Hub,mobile_phone,11.5526802,76.1321873
Mastro,yes,11.5524782,76.1322777
V-MART Hypermarket,supermarket,11.5528907,76.1322328
Karuna Chappals,shoes,11.5529812,76.1324174
London Beard Men Fashion Store,beauty,11.5525383,76.1325353
Mulberry Fashion Kids and Ladies,clothes,11.5521567,76.1324337
Lb Shoes,shoes,11.5525948,76.1324906
Family Textiles,clothes,11.5528418,76.1324438
Apna Fancy,yes,11.5529632,76.1330699
She's Boutique,clothes,11.5530429,76.1330354
EC Tailors,tailor,11.55279,76.1329032
Vanitha Textiles,clothes,11.5529712,76.132641
Parol Fashion Jewellery,jewelry,11.5529792,76.1328788
The Mobile Shoppee,mobile_phone,11.55279,76.1330638
Matrix Net Cafe& Proffessional,yes,11.5526779,76.1343489
Hiba Supermarket,supermarket,11.5529334,76.1332813
Blooms Collections,clothes,11.5530578,76.1338363
Monalisa Communications,yes,11.5531116,76.1326735
Chelsea gents store,yes,11.5524922,76.1336086
Nighty Bazar,clothes,11.5527547,76.1346114
Benz Driving School Test Ground,school,11.5526385,76.134668
KVM Store Meppadi,yes,11.5531691,76.134668
Malabar trading,yes,11.5536233,76.1349937
Sree Shanmuga Home appliances,yes,11.5537117,76.1354254
MRF Tyres Meppadi,tyres,11.5532733,76.1368818
Le Biaz Gents Wear,clothes,11.5533699,76.1371529
Fresh bakers and Cofee coolbar,bakery,11.8403195,75.9538554
Dhanwandhari Ayurveda Medicals,medical_supply,11.8405028,75.9538967
Gopika Coolbar,bakery,11.6365556,76.3067586
Shop,stationery,11.636662,76.3068123
Mundrayil hardware and electricals;M M stores,paint,11.6043256,76.3246926
MUGAL JWELLERY,yes,11.7395072,76.0730592
Tharique Furniture,furniture,11.6339577,76.0630418
orchid,stationery,11.7905846,76.1664057
shalu,stationery,11.790625,76.1664527
stuent center,books,11.7902443,76.1664398
hanuman covil;GVN textiles,place_of_worship,11.7920082,76.1662183
minnus,clothes,11.7916584,76.1660852
salala,stationery,11.7916059,76.1660828
maveli store,yes,11.7914413,76.1665008
friends,yes,11.7914139,76.1664004
medical shop,medical_supply,11.7913533,76.1663883
calicut vegitables,yes,11.7909851,76.166372
kensa,stationery,11.7909871,76.1664046
muses book stall,books,11.7897613,76.1665408
shankar ayurvedic shop,yes,11.7891544,76.1666932
yuva textiles,clothes,11.7891982,76.1666688
brahmagiri meats,yes,11.7925965,76.1637942
banana shop,yes,11.7928982,76.1635023
anna tailorings,tailor,11.7928731,76.1635303
paramettante kada,kiosk,11.6317638,76.049248
Gvt.High school Cheeral,school,11.6090243,76.3146417
Say Medical Shop,medical_supply,11.6083181,76.3123409
AUPS Cheeral,school,11.6079817,76.3155391
Govt Higher Secondary School Cheeral,school,11.6084305,76.3149779
store,department_store,11.8092317,76.0584002
Government  Higher Secondary School Valad,school,11.7965268,75.8864841
party office,yes,11.7918106,76.1670063
Grand Fresh,supermarket,11.6138938,76.082545
Computer Solutions,computer,11.6138229,76.0825544
4 U Beauty Parlor,beauty,11.6139175,76.0822366
De Purple Mens,clothes,11.613903,76.082415
Hill Tower,mall,11.6139713,76.0824766
Yes Bharath Wedding Collections,clothes,11.6141579,76.0825973
P T M,supermarket,11.6143247,76.082777
Aksa Bakes,bakery,11.6145861,76.0827931
Lavanya,fashion_accessories,11.6147687,76.0828522
Tunes,mobile_phone,11.6146518,76.0828213
Puthuma Textiles,clothes,11.6147162,76.0828253
Walnuts,bakery,11.6150853,76.0829313
Grand Bakes,bakery,11.6152022,76.0830158
Picardo,yes,11.6154544,76.0830319
Malabar Gold,jewelry,11.6165382,76.0834168
Vijaya Agencies,yes,11.6173211,76.083465
My G Digital Hub,mobile_phone,11.6147411,76.0829997
Lora Trendy Collections,fashion_accessories,11.614883,76.0831163
Hi Tech Mobile World,mobile_phone,11.6151471,76.0831941
Classic Mobiles,mobile_phone,11.6151891,76.0831888
Westlife Boutique,clothes,11.6153441,76.0832853
Zara,clothes,11.6155096,76.0833484
Sindur,clothes,11.6158052,76.083693
Yem yem,hardware,11.6173329,76.0839009
Soundharya Bakes,bakery,11.6176154,76.0841021
Wild Craft Store,clothes,11.6180738,76.0843864
jurassic park,bakery,11.7920374,76.167164
mill,yes,11.7919776,76.1680781
House,clothes,11.787746,76.1690116
chicken shop,butcher,11.6146293,76.0823177
chicken shop,butcher,11.6148947,76.0819797
apple,bakery,11.6153249,76.0817558
sumangali texs,clothes,11.6171955,76.0803402
Topshop,clothes,11.6598484,76.1654841
House,clothes,11.7908203,76.1767038
vadakara,shoes,11.6408561,76.1125087
vasthra,clothes,11.6409333,76.1122702
minnaas,beauty,11.6408061,76.1127194
Bhavans Vidhya Mandir,school,11.6660353,76.2372766
AR STORE GRAMAM THONONICHAL,convenience,11.7720491,75.9903189
ASAP Community Skill Park Mananthavadi,school,11.7778243,76.0004797
Oxy Roof,yes,11.793469,75.9943997
Patturumal Textiles,clothes,11.7338008,75.9355649
Home Centre Furniture,furniture,11.7339295,75.9360075
Gulf Corner,electronics,11.6123912,76.0828988
Pta Co Operative Store,stationery,11.8331545,75.969198
Photocopy Center,kiosk,11.8332524,75.9703697
Hypercity Supermarket,supermarket,11.6761792,76.0753451
K V R Bajaj,motorcycle_repair,11.6437682,76.1124311
G H S Kakkavayal School Ground,school,11.6477979,76.1442753
Udaya,pet,11.6634259,76.2618606
Palakara Anganvady,school,11.6660414,76.2813776
Mundakkan Store,supermarket,11.6679661,76.2816781
"WMO English Acadamy Senior Secondary School, Mandad",school,11.6346047,76.1173929
Kozhuvana ration shop,convenience,11.5970325,76.2936931
anupama jwelry,jewelry,11.6149523,76.082918
GLPS Mundakkuttykunnu,school,11.7672863,76.1493393
Ration Shop Sulthan Bathery,supermarket,11.6623349,76.2632121
Petrol Bunk,fuel,11.6678118,76.2665408
Gups Pinangode,school,11.6182183,76.0269165
Government Lower Primary School Poomala,school,11.6500151,76.2500145
alps puthenkunnu,school,11.6497866,76.2858245
Aup School Vazhavatta,school,11.612664,76.1531391
Glps Kallupadi,school,11.6341305,76.149818
gups bavali,school,11.8481192,76.1099802
SN A Lower Primary School Ground,school,11.8005876,76.2088565
Snalp School Narayanapuram,school,11.7027993,76.2120297
Anmup School Gokhale Nagar,school,11.680928,76.1823877
GUPS Mananthavady,school,11.8015309,76.0021429
kunnath house,clothes,11.6323565,76.1924681
S A L P School Kuppadithara,school,11.6931963,76.0129129
Kalyan Silks,clothes,11.6056178,76.0834341
G L P School Kalpetta,school,11.6083893,76.0839043
ambukuthi subcenter,supermarket,11.6170238,76.2421165
SNM LP School Varayal,school,11.839005,75.9013173
Cno.04 Nallannoor Anganwadi. Muppinad,school,11.5550103,76.1720224
walnut cakes,bakery,11.6586693,76.2466478
happy 7 days,supermarket,11.6588559,76.246326
Bharath Tyres & 3D Wheel Alignment,tyres,11.7245267,76.0781993
PB Automotive,general,11.7285873,76.0752304
poomala store,general,11.6457507,76.2500646
New stores Poomala,general,11.6461037,76.2501722
"Ration Shop, Kaithakkal",grocery,11.7546514,76.0615671
PATHOOS SHOP Panamaram,clothes,11.7394277,76.0732177
Supplyco,yes,11.6645173,76.2609778
Kuppadi Ration Shop,yes,11.6831815,76.2694877
grocery shop,yes,11.6351603,76.2195517
Famous bakery,bakery,11.6298819,76.2131735
grocery shop,yes,11.6287191,76.225492
grocery shop,yes,11.6302509,76.2234089
corner medical shop,medical_supply,11.6184738,76.2113093
AC Hypermarket,supermarket,11.6182688,76.2125913
Milma Sugandhagiri,dairy,11.5491598,76.0201495
Ration Shop Sugandhagiri,convenience,11.5492725,76.0224204
Pozhuthana Ration Shop,convenience,11.5883943,76.0180674
Maveli store,convenience,11.5492819,76.0225131
Gov LPS Amba,school,11.5580855,75.992098
Govt LP School Vrindavan,school,11.5510152,76.004364
Ration Shop,convenience,11.5871923,76.0182861
Buds  School,school,11.6165178,76.0055586
Achoor Ration Shop,convenience,11.6015015,76.0125384
6th mile Ration Shop,convenience,11.6073016,76.0068318
Athimoola Ration Shop,convenience,11.6050593,76.0382851
Royal travels,travel_agency,11.5530731,76.1320669
Malabar gold,jewelry,11.5530442,76.1320793
Boots City,shoes,11.5536385,76.1358992
Mina Gold,jewelry,11.5534465,76.1371051
K B Steels and Hardwares,hardware,11.5548695,76.1396194
Amritha Shree,grocery,11.5530907,76.1345059
KEY BEES supermarket,supermarket,11.5537877,76.1313278
tharappel nursery,yes,11.6287656,76.2119281
chicken stall,butcher,11.6352957,76.2195046
grocery shop,yes,11.6333491,76.2233291
Gandhi Gramam,craft,11.6314913,76.2308207
grocery store,yes,11.6163726,76.2322205
grocery store,yes,11.6177053,76.2356466
Grocery store,grocery,11.6251991,76.2431144
Stationary shop,yes,11.6264016,76.2421382
glam up,hairdresser,11.5527337,76.1344651
jadeed hardwares,hardware,11.5522106,76.1530217
marakkar stores,general,11.551159,76.1547662
MSA bakery,bakery,11.5527418,76.1332815
"Government Lower Primary School, Valiyapara",school,11.6087494,76.0033
"Ration Shop, Edapetty",grocery,11.6340196,76.100727
"Ration Shop, Madakkimala",grocery,11.6621522,76.0839813
"Ration Shop, Pariyaram",grocery,11.6492945,76.1012233
"Ration Shop, Vazhavatta",grocery,11.6189466,76.158358
"Ration Shop1, Muttil",grocery,11.64271,76.1114806
"Ration Shop2, Muttil",yes,11.6427427,76.1115113
"Ration shop, Kolavayal",grocery,11.65475,76.120444
"Ration Shop, Paralikunn",grocery,11.6705486,76.0895865
"W.M.O Speech And Hearing School, Muttil",school,11.6334041,76.1200997
Ration Shop 41,grocery,11.5541305,76.1312281
Ration Shop 39,grocery,11.5518168,76.1327189
Ration Shop 19,grocery,11.5517675,76.1327732
"Ration Shop, Pakkam",grocery,11.6127208,76.1539411
Ration Shop,convenience,11.6294595,76.1283854
"Ration Shop, Mandad",grocery,11.628518,76.1317343
Ration Shop 44,grocery,11.4991625,76.1597467
Ration shop 46,grocery,11.4996527,76.1598683
"Hai Fresh Supermarket, Chundale",supermarket,11.5745824,76.0592914
Ration Shop 38,grocery,11.5754051,76.0962251
"Ration Shop 13, Chundel",grocery,11.57452,76.0624981
Ration Shop 18 Kottanad,grocery,11.570377,76.1147041
Ration Shop 97Chembothara,grocery,11.5729148,76.1254227
Ration Shop 20,grocery,11.5652194,76.1436044
Ration Shop 70 Nellimalam,grocery,11.5991757,76.1315788
Ration Shop 16 Uppupra,grocery,11.5868982,76.1411484
Pookolas medicare,medical_supply,11.7360198,75.984788
Government Lower Primary School Cheegavalam,school,11.589178,76.2093147
ration shop,convenience,11.8408437,75.9541067
RAtion Shop,yes,11.798299,76.1908464
Ration shop yavanarkulam,yes,11.7915461,75.9362075
Orange studio,photo,11.5557555,76.0387909
rippon government high school,school,11.5349106,76.1737041
Issac's Stationary Shop,stationery,11.7559517,75.9806668
"Joy""s Essentials Shop",yes,11.7542077,75.9687938
"Ration Shop, Vythiri",grocery,11.5539,76.0391374
"Ration Shop, Chundale",grocery,11.5742185,76.0580424
ration shop periya,general,11.8336816,75.8569163
4U CAFE,bakery,11.7663435,75.9626194
Government Upper Primary School Periya,school,11.8334583,75.8542324
Ration shop valad HS,general,11.7963177,75.8874249
Ration shop valad,general,11.7949831,75.9062172
Maveli Store Valad,general,11.7948146,75.9065738
Ration Store Edathana,general,11.8147476,75.9134947
Ration Shop Kattimoola,general,11.7976019,75.9213242
Ration Shop thalapuzha 3,general,11.8401345,75.9540261
Ration shop thalapuzha 3,general,11.8400592,75.9550591
"Ration Shop, Chundale",grocery,11.5747778,76.061489
Toddy Shop,beverages,11.7783899,76.079665
Thekkumthara Ration Shop,grocerry,11.6488703,76.041628
madakunn ration shop,grocery,11.6505229,76.0207323
Sunnys Shop,stationery,11.7965281,76.0811943
Ajis Shop,stationery,11.79643,76.0810124
Ration Shop,convenience,11.6152476,76.0588867
Vengapally ration shop,grocery,11.6121747,76.0436911
Car Palace,car_repair,11.6351181,76.0906313
Yamaha,motorcycle,11.6360279,76.0915872
Royal Enfield Showroom,motorcycle,11.6302949,76.0890314
Shri Shankara Vidhya Mandhiram,school,11.6389594,76.0884974
Car Choice,car_repair,11.6352891,76.0904434
"Ration Shop, Mayiladi",grocery,11.6801737,76.0460957
soorya mills,convenience,11.7666025,75.9632346
Nambikolli ration shop,grocery,11.635679,76.306846
Cherumad Ration Shop,convenience,11.6191355,76.2893457
Cheeral ration shop,grocery,11.6078319,76.3124597
"Cheeral,kallumukku ration shop",grocery,11.6095834,76.3045369
Ration Shop,convenience,11.5856902,76.3183206
Mundakkolly ration shop,grocery,11.6195769,76.3240961
Thovarimala ration shop,grocery,11.6081392,76.2548276
Ration Shop,convenience,11.6188414,76.2756122
Thazhathoor ration shop,grocery,11.6113621,76.2863854
Malavayal Ration Shop,grocery,11.6348639,76.2553359
Ambukuthy Ration Shop,grocery,11.6165104,76.2307778
Chulliyode ration shop,convenience,11.6017778,76.2570091
Chulliyode ration shop,convenience,11.6015099,76.2559425
Makkutty Ration Shop,convenience,11.6500439,76.2784319
Karadippara Ration Shop,convenience,11.5929832,76.2441613
East Cheeral Ration Shop,convenience,11.6028542,76.3246999
GLPS Appad,school,11.696444,76.1729759
"GLPS , Chulliyode",school,11.59996,76.2648596
Maveli Store,government,11.660502,76.1628074
Gayathri Home Appliance,yes,11.6604492,76.1621094
Ration Shop,convenience,11.7748359,76.0277788
Ration Shop,convenience,11.7546251,75.9687318
Supplyco Super Market,supermarket,11.6636578,76.1606401
Athinila Ration Shop,yes,11.6708192,76.1774759
Ration Shop,convenience,11.7717347,76.0000294
Madoor Ration Shop,yes,11.6862675,76.1995354
GHSS Meenangadi,school,11.6642287,76.1672659
GLPS CC Bhoothanam,school,11.6816489,76.2029816
Mepperikkunnu Ration Shop,yes,11.6503058,76.1881686
"Ration Shop 54, Meenangadi",yes,11.6587325,76.1714048
Meenangadi Ration Shop,yes,11.6602617,76.1641596
Ration Shop Appad,yes,11.6926305,76.1743412
Ration Shop Mylambadi,yes,11.6832949,76.1826947
Ration Shop Meenangadi,yes,11.6616557,76.1616658
Ration Shop Chendakkuni,yes,11.6698168,76.1515985
Ration Shop Palakkamoola,yes,11.6744459,76.1438397
Manivayal Ration Shop,yes,11.6956957,76.1461318
Choothupara Ration Shop,yes,11.7032344,76.1624196
Ration SHop Krishnagiri,yes,11.6623647,76.190393
Ration Shop Kolagappara,yes,11.655378,76.2107366
Cheeramkunnu Ration Shop,yes,11.6473226,76.1677143
Arivayal Ration Shop,yes,11.6718246,76.2193591
Kakkavayal Ration Shop,yes,11.6511566,76.142141
Ration Shop,convenience,11.765271,75.9614514
Ration Shop,convenience,11.6641264,76.0418077
walnut sweets,yes,11.7335028,76.0729502
Family Supermarket,supermarket,11.7553992,76.0076312
EYE CARE OPTICALS,optician,11.7397816,76.0729911
KT FOOT WEAR,yes,11.7398226,76.0729292
MAITHRI SHOP,yes,11.7398771,76.0729495
FAMILY CENTER,yes,11.739004,76.0732063
BROTHERS BAKERY,yes,11.740421,76.0732941
SIDE VIEW,yes,11.7403948,76.0732685
NETSPOT CAFE,yes,11.73957,76.0730969
JEEVAN MEDICAL SHOP,yes,11.7395594,76.0731437
Sony,electronics,11.7396422,76.0731365
BROTHERS BAKERY,yes,11.73954,76.0731077
KPC SHOP,yes,11.739392,76.0728269
VAIDHYA SHALA,yes,11.7393479,76.0728503
tea shop,yes,11.7389377,76.0734532
Kunnmal angady rationshop,grocery,11.7275851,75.9829774
"Ration Shop, 16th Mile",grocery,11.6972997,75.9792736
Ration Shop,grocery,11.7004158,75.9969327
"Ration Shop, Kuppadithara",grocery,11.6896816,76.0020281
"Ration Shop, Padinjarathara",grocery,11.675251,75.9891041
"Ration Shop, Padinjarethara",grocery,11.6777399,75.9754105
Ration Shop,grocery,11.6796278,75.9732529
Ration Shop,grocery,11.6770536,75.9772721
Ration Shop,grocery,11.6655446,75.9759211
Ration Shop,grocery,11.6827432,75.9545594
Ration Shop,convenience,11.7122751,76.0109728
Motani wadi,farm,11.8170697,76.0296454
Ration Shop,convenience,11.8482099,76.0646313
Ration Shop,convenience,11.8473165,76.0629414
Ration Shop,convenience,11.9418132,76.0597462
Ration Shop,convenience,11.9052958,76.0327631
Ration Shop,convenience,11.8219818,76.0851566
Ration Shop,convenience,11.8880612,76.0373101
Ration Shop,convenience,11.8994051,76.0068184
Ration Shop,convenience,11.9304506,76.0494518
Ration Shop,convenience,11.8460057,76.0626048
Ration Shop,convenience,11.7546238,76.0241021
Ration Shop,convenience,11.752783,76.0360142
Ration Shop,convenience,11.7602716,76.061479
Ration Shop,convenience,11.7310128,76.0727831
Ration Shop,convenience,11.7409234,76.0739927
Ration Shop,convenience,11.7511634,76.0915366
Ration Shop,convenience,11.7542203,76.0649341
Ration Shop,convenience,11.7405664,76.0223321
Ration Shop,convenience,11.7221419,76.0374891
Ration Shop,convenience,11.7091467,76.0379677
Ration Shop,convenience,11.7734825,76.0819689
Ration Shop,convenience,11.7557193,76.0432392
Ration Shop,convenience,11.7293889,76.0615979
Ration Shop,convenience,11.7013865,76.054571
Maveli Store,convenience,11.668752,76.3119337
Ration Shop,convenience,11.6507488,76.3169679
Government Lower Primary School,school,11.7229917,76.286269
St . School,school,11.7383842,76.1181995
Gvt lp school nelliyambam,school,11.7387314,76.098739
Kaniyambetta 52,grocery,11.694003,76.0809892
Milma,dairy,11.7406228,75.9003373
Ration Shop Makkiyad,convenience,11.7415576,75.8997536
Ration Shop,convenience,11.7352781,76.2440625
Ration Shop,convenience,11.7644223,75.9125622
Ration Shop,convenience,11.7424763,75.8636989
Maveli Store,convenience,11.7436217,75.8787412
Ration Shop,convenience,11.6856389,76.276382
Ration Shop,convenience,11.6822457,76.2708087
Ration Shop,convenience,11.6607948,76.3003115
Ration Shop,convenience,11.6614195,76.2324408
Ration Shop,convenience,11.6585204,76.2795912
Ration Shop,convenience,11.6760261,76.2276768
Ration Shop,convenience,11.6461685,76.2504198
Ration Shop,convenience,11.6612528,76.2552172
Ration Shop,convenience,11.6629404,76.2585873
Ration Shop,convenience,11.6603122,76.2569338
Supplyco,supermarket,11.6597569,76.2564784
Ration Shop,convenience,11.6972077,76.2647178
Ration Shop,convenience,11.6241166,76.071935
Supplyco,supermarket,11.6266054,76.0708349
Supply Co - Depot,supermarket,11.6204547,76.088412
Ration Shop,convenience,11.6367434,76.0928875
Campingzaa,travel_agency,11.5997982,76.0808973
Thomas Chettan's Tea Shop,tea,11.8357478,76.0276134
Ration Shop,convenience,11.8431782,75.9948547
Maveli Store,convenience,11.8428246,75.9953701
Ration Shop,convenience,11.8167964,76.0167709
Ration Shop,convenience,11.8101604,76.0522518
Ration Shop,convenience,11.7873668,76.0464214
Ration Shop,convenience,11.800876,76.0281023
Ration Shop,convenience,11.8023829,76.0307462
Ration Shop,convenience,11.7978772,76.0062277
Ration Shop,convenience,11.8030548,76.0053879
Ration Shop,convenience,11.7966607,76.0001771
Ration Shop,convenience,11.796863,75.9999541
Ration Shop,convenience,11.8109008,76.0044494
Ration Shop,convenience,11.8034081,75.9874061
Ration Shop,convenience,11.8291102,75.9767795
Ration Shop,convenience,11.8195613,75.9897774
BUDS School,school,11.8321764,75.992826
Ration Shop,convenience,11.8530615,75.9666891
Janamythri Super Market,supermarket,11.7185762,75.938766
Janakiya Store,convenience,11.7175531,75.9383984
Kamba Store,convenience,11.7176481,75.9384395
Ration Shop,convenience,11.71784,75.9387828
Tea shop,tea,11.7172301,75.9382754
Chembra Peak,ticket,11.5538079,76.1019546
Classic Hyundai,car,11.8103202,76.015026
Kachery Honda,motorcycle,11.8104475,76.0149992
Mall of Kallat,mall,11.8031869,76.0083512
Retail Timber Depot,timber,11.6908002,76.257619
Anganavadi,school,11.6222277,76.1233008
P P Associates,hardware,11.7588382,76.0070546
Apple Bakery,tea,11.8023466,76.03065
Van Tickets,ticket,11.6721009,75.9563251
Enna Ooru Tickets,ticket,11.5327527,76.0250455
Wayanad Khadi Gramam,clothes,11.5406482,76.0374034
Olive Supermarket,supermarket,11.5412534,76.0376922
Elly Handcraft Shop,gift,11.529641,76.0153341
Tribes of India,gift,11.5288094,76.0155415
Happy Top Spices and Handicraft,spices,11.5290948,76.0244128
Spices And Handicrafts,gift,11.529037,76.0244304
Varada Agricultural Products Shop,convenience,11.5296861,76.0153403
Kuduma Agro Products,convenience,11.5297273,76.0154244
Vanagramam Forest Products,convenience,11.5297085,76.0155012
Amma Dry food shop,nuts,11.5295468,76.0155924
Chitramala Mural Art,craft,11.529557,76.0155422
Malayoram Spices,spices,11.5297462,76.0153443
Vanamalika FOrest Products,convenience,11.5297206,76.015308
Nanma S T Kudumbasree Tribal Products,convenience,11.5297459,76.0152036
CH Store,country_store,11.71715,75.9379044
Tea shop,tea,11.7174768,75.9383613
Tea shop,tea,11.7177671,75.9385051
Farmers Co-operative society and fertilizer Dippo,agrarian,11.806404630582273,75.8676119121848
"Government Higher Secondary School, Kottathara",school,11.67133365143164,76.02886384649588
Little Flower U. P. School,school,11.79941697966647,76.00524053337101
Little Flower U. P. School,school,11.79910129998209,76.00522085627377
Little Flower U. P. School,school,11.799214047399785,76.0049570357204
Kaniyaram AUP School,school,11.809720284473464,75.9992234186824
Milma,yes,11.803718261095117,76.0048210350205
Winner's,bakery,11.802857101572705,76.0034969703919
Hill Blooms Higher Secondary School,school,11.79226939501943,75.9928187838382
Fr. G. K. M. H. School,school,11.807267857166837,75.9977142140402
Fr. G. K. M. H. School,school,11.806728335593426,75.99735246756968
Little Flower U. P. School,school,11.799597062256312,76.00515814434158
St Joseph's Higher Secondary School Ground,school,11.767823936498065,75.96413035904637
St Joseph's Upper Primary School,school,11.765711434018549,75.96227473446231
